mode,kind,stage,cable,frequency_Hz,L_uH,C_nF,R_dynamic_ohm,R_copper_ohm,target_I_rms_A,sim_I_rms_A,sim_I_peak_A,capacitor_V_rms_V,drive_V_peak_V,copper_loss_W,dynamic_damping_loss_W,mean_L_energy_J,mean_C_energy_J,frequency_error_ppm,B_rms_T,B_peak_T,turns,Ae_m2
U_A,core,U_A,E1,128000.0,92.05175329217508,16.795319083755896,6.169367720378822,0.0,7.067092319543284,2.4754860588470695,3.4495322481204207,183.25267556796754,0.0,0.0,37.80607804469692,0.0002820480093624137,0.00028200636586837163,0.0,0.012384393041696154,0.017257363667249077,8.0,0.0023
U_B,core,U_B,E1,128000.0,92.05175329217508,16.795319083755896,6.169367720378822,0.0,7.067092319543284,3.369183280299846,4.758976311480329,249.43412588087998,0.0,0.0,70.03093591712732,0.0005224579509638704,0.0005224804013135174,0.0,0.016855392832297967,0.023808267029765903,8.0,0.0023
