stage,frequency_Hz,active_branch_count,target_stage_I_rms_A,sim_stage_I_rms_A,sim_stage_I_peak_A,target_stage_voltage_rms_V_for_50ohm,effective_stage_impedance_from_target_power_ohm,total_copper_loss_W,dominant_phasor_I_rms_A,dominant_phase_deg
A1,16000.0,2,14.142135623730951,14.117832666369459,20.090576168831273,707.1067811865476,50.08607184238479,33.00075471245938,14.115949606432237,-88.31406118848544
A2,32000.0,2,14.142135623730951,12.959277580209967,18.447303075530883,707.1067811865476,54.56374993204605,19.689330658970142,12.959231854834268,-39.97587398367592
A3,64000.0,4,14.142135623730951,12.961303023351544,18.41630899644599,707.1067811865476,54.555223337699836,11.007379562425163,12.959909466840925,104.88111128606059
A4,128000.0,8,14.142135623730951,10.789892544083854,15.222076084329581,707.1067811865476,65.53418194829543,11.258885612709852,10.790980714104357,173.9972715835422
B4,128000.0,8,14.142135623730951,13.54368421795178,18.83007695024557,707.1067811865476,52.209337563356435,17.736084287471215,13.544982795814812,11.298981702932585
B3,64000.0,4,14.142135623730951,14.673725813284971,20.78639023416933,707.1067811865476,48.188632538462926,14.108185644961596,14.673070225560789,52.72444073126236
B2,32000.0,2,14.142135623730951,15.14143018752013,21.515956663650194,707.1067811865476,46.700131521879555,26.878384659695527,15.141614445855646,-143.45250405282172
B1,16000.0,2,14.142135623730951,14.117954362451458,20.12189083246509,707.1067811865476,50.08564010287427,33.00132364962639,14.11594943199346,91.68591676850299
