time_s,time_us_relative,I_U_A_A,I_U_B_A,V_cap_U_A_V,V_cap_U_B_V,V_direct_U_B_from_U_A_V,V_direct_U_A_from_U_B_V,V_input_A4_to_U_A_V,V_output_U_B_to_B4_V,P_inst_U_A_to_U_B_W,P_inst_U_B_to_U_A_W,P_inst_net_U_A_to_U_B_W
0.00443750000000073,0.0,-2.862449740352262,3.191594245309362,149.27480413858893,-261.88622286360766,-11.633434902736266,20.419995022629355,-3.261743675435884,56.95815619036853,-37.12920388875414,-58.451209450519876,21.322005561765735
0.004437988281250729,0.488281249998862,-3.4159203332371075,4.302621433983952,56.819861916404605,-151.5268511280808,-4.425860917224676,11.81692858159172,8.671037450962972,32.961343188126996,-19.042804046282765,-40.36568661826989,21.322882571987126
0.004438476562500728,0.976562499997724,-3.44936547625473,4.758643337968352,-44.2779454580122,-18.091168799339037,3.455362333007997,1.414688430748388,19.278445416569838,3.946036446628796,16.44283694623529,-4.87977743268047,21.32261437891576
0.0044389648437507265,1.464843749996586,-2.9577029232424983,4.490224008247866,-138.62804053217016,118.107164237559,10.810402916309513,-9.203092837672314,26.946153066379825,-25.670486143688823,48.54113071364572,27.220014588855502,21.32111612479022
0.004439453125000725,1.953124999995448,-2.0157922796061074,3.538216373266474,-211.86738510055946,236.3335753988991,16.519540633214998,-18.419962008078922,30.50755783792399,-51.379399060290226,58.44970914728212,37.130817206523304,21.318891940758817
0.004439941406250724,2.4414062499943103,-0.7670379816984448,2.0475431921398046,-252.84708765265546,318.5892151659032,19.713633572629373,-24.832735293241683,29.421358121192444,-69.26675613285286,40.36451621397597,19.04765115937984,21.31686505459613
0.004440429687500723,2.929687499993172,0.5984430007123533,0.24513433076896518,-255.32967742608292,352.3511168439593,19.90643622228081,-27.465120307830187,23.85392731534033,-76.60935326120473,4.879750921343894,-16.436309011943692,21.316059933287587
0.004440917968750722,3.417968749992034,1.8727649590414548,-1.5946208068202352,-218.9386521523008,332.478715907582,17.06862493390321,-25.916347956248078,14.65394619335152,-72.28931217368348,-27.21798446341272,-48.53522831878702,21.3172438553743
0.004441406250000721,3.906249999990896,2.861922299155131,-3.1916461549097273,-149.21574140413003,261.99647821361395,11.632261075785497,-20.422186368651467,3.2231570580441167,-56.96426858309224,-37.126061335436866,-58.44671056594559,21.32064923050872
0.00444189453125072,4.394531249989758,3.4153251969680873,-4.302817644783809,-56.77716986050895,151.63348811471485,4.425012440715452,-11.819048048262246,-8.697082192606258,-32.96725508543776,-19.040021608298314,-40.36589260340654,21.32587099510823
0.0044423828125007185,4.882812499988621,3.4487255181430103,-4.758976311154744,44.30262598837659,18.19008864025517,-3.4558528515406977,-1.416654564224598,-19.29094721519863,-3.951520646674143,16.446321855318754,-4.885652746035137,21.331974601353892
0.004442871093750717,5.371093749987482,2.9570427390537675,-4.490680949038487,138.63376093575246,-118.01976379765567,-10.810516625819018,9.201355598918871,-26.944631371211038,25.665640407137523,48.54658106082929,27.208801763234778,21.337779297594512
0.004443359375000716,5.859374999986344,2.015137242416735,-3.538779722594477,211.85392547737965,-236.26105396176212,-16.519273163582437,18.41852042943231,-30.49207108304569,51.37537801808999,58.45806890328464,37.11584646756252,21.34222243572212
0.004443847656250715,6.3476562499852065,0.7664132667978732,-2.048191301430309,252.8149652552662,-318.53436056388944,-19.71299520260598,24.83164477814107,-29.392501480394365,69.26371432361834,40.37598529911498,19.031301994379447,21.344683304735533
0.004444335937500714,6.835937499984068,-0.5990133833183433,-0.2458422938760183,255.2801267817603,-352.31603799674406,-19.905451484479496,27.464422768602148,-23.812809829662577,76.60740759235145,4.893601853582233,-16.451556803505714,21.345158657087946
0.004444824218750713,7.32421874998293,-1.8732590873460762,1.5938801964871085,218.8735776200607,-332.4647617689874,-17.06733167201952,25.91607020339519,-14.60214815033037,72.28853742861818,-27.203281958909123,-48.54751401680891,21.344232057899788
0.004445312500000712,7.812499999981792,-2.862321181624904,3.190901358851278,149.13764398978583,-262.0041859234631,-11.63070899027856,20.42233908049661,-3.1626692605549342,56.96469454720821,-37.11244512148363,-58.45529372843151,21.342848606947882
0.004445800781250711,8.300781249980654,-3.4156135024001593,4.302097285648506,56.68905110224041,-151.66256234829126,-4.423261178837623,11.81962536054499,8.763934934029722,32.968865401362656,-19.029299911191746,-40.37127197478882,21.341972063597073
0.0044462890625007094,8.789062499979517,-3.448892164857298,4.758308072780689,-44.39737937030083,-18.239412949035206,3.4577359879665557,1.4176342954215495,19.361595426399866,3.9542534427634024,16.452973065085573,-4.889267814112378,21.342240879197952
0.004446777343750708,9.277343749978378,-2.957081320777422,4.490090512570705,-138.731507192229,117.95208408973744,10.812459266785963,-9.200011095208675,27.01635966133329,-25.66189013921439,48.548920771352854,27.205180960586606,21.343739810766248
0.004447265625000707,9.765624999977241,-2.0150462744942246,3.538289779562108,-211.9509077849552,236.17761895492114,16.521200652056358,-18.41686281779373,30.562122499519898,-51.37075438803972,58.456795413265844,37.11083080886647,21.345964604399377
0.004447753906250706,10.253906249976103,-0.7661962432647718,2.047820681710702,-252.907456093446,318.43837586969613,19.714833463574955,-24.8297377559367,29.45818346164925,-69.2583950045659,40.372443703191024,19.024451789848165,21.34799191334286
0.004448242187500705,10.742187499974964,0.5993481239914131,0.24560524205767303,-255.3645711847597,352.21119155545097,19.907129871639675,-27.462339618151844,23.87159768381133,-76.60159699305478,4.889295450797596,-16.45950173055437,21.348797181351966
0.004448730468750704,11.230468749973827,1.8736986826801603,-1.5939745685336857,-218.94672979786824,332.3550821307555,17.068785682700963,-25.913890975809608,14.651782083157256,-72.28245883824358,-27.20721029397722,-48.554823384491755,21.347613090514535
0.004449218750000703,11.718749999972689,2.862848739416512,-3.1908494221573287,-149.19669206821223,261.89388743959796,11.63188274427788,-20.420147519388543,3.2012412240159414,-56.95858155453824,-37.11558633318087,-58.45979358458071,21.344207251399837
0.0044497070312507015,12.20703124997155,3.4162087498672777,-4.301901033627907,-56.73172518820375,151.55588322164448,4.42410956589677,-11.817505683838116,-8.737907910386316,-32.96295291819067,-19.032081514414426,-40.37106631873406,21.338984804319633
0.0044501953125007,12.695312499970413,3.4495322277014733,-4.757975044647682,44.37271995120766,18.140452367147397,-3.4572455745622523,-1.4156679589295522,-19.34911423923938,-3.9487686764395176,16.449488166985834,-4.883392248051856,21.33288041503769
0.004450683593750699,13.183593749969274,2.9577416022231193,-4.489633503637313,138.72581083844926,-118.03952347992144,-10.81234567711228,9.201748528059492,-27.01790466296177,25.666736417167808,48.54346940487136,27.21639443463691,21.32707497023445
0.004451171875000698,13.671874999968136,2.0157014005245615,-3.5377263495481364,211.9643941652867,-236.25017717720277,-16.52146825511368,18.41830457980413,-30.57763503139986,51.37477594170251,58.44843357933873,37.125802336799126,21.322631242539607
0.004451660156250697,14.160156249966999,0.7668210377287825,-2.0471724799614583,252.93960769793608,-318.4932647379789,-19.715471979351342,24.830828441944238,-29.487068101726216,69.26143729051665,40.36097166557933,19.04080163351705,21.32017003206228
0.004452148437500696,14.64843749996586,-0.5987776718728399,-0.24489717560059554,255.41415320494613,-352.2463018203489,-19.908114766127756,27.463037314208652,-23.912745121354934,76.60354309935565,4.875441077757198,-16.444253545558787,21.319694623315986
0.004452636718750695,15.136718749964723,-1.873204495590414,1.5947152921226972,219.01183757245272,-332.369064535892,-17.07007911068897,25.9141688699057,-14.7036117421156,72.28323397728315,-27.22191619555991,-48.54253762659651,21.320621431036603
0.0044531250000006935,15.624999999963585,-2.8624498094613355,3.191594340296138,149.27482427092815,-261.88620457265927,-11.633435003684395,20.419994931821556,-3.2617619969573726,56.95815593707539,-37.1292053159621,-58.45121060179405,21.32200528583195
0.004453613281250692,16.113281249962448,-3.4159204087109947,4.302621522499686,56.819879945377345,-151.5268301675825,-4.425861007760161,11.816928477633127,8.671021151650779,32.96134289815191,-19.04280482758102,-40.36568715502514,21.322882327444123
0.004454101562500691,16.601562499961307,-3.4493655573697617,4.7586434191691245,-44.27792970708123,-18.091145369831253,3.455362253839389,1.4146883145364866,19.278431296551382,3.9460361224751606,16.4428368500782,-4.879777146575637,21.32261399665384
0.00445458984375069,17.08984374996017,-2.957703009214976,4.49022408135268,-138.6280272120273,118.10718991189843,10.810402849353359,-9.203092965133038,26.946141261728023,-25.670486499219166,48.54113120329008,27.220015757059162,21.321115446230916
0.004455078125000689,17.578124999959034,-2.01579236960023,3.5382164375646137,-211.86737434038878,236.33360307218996,16.51954057918739,-18.41996214566916,30.507548462374913,-51.37939944407515,58.44971001829648,37.13081914156497,21.31889087673151
0.004455566406250688,18.066406249957893,-0.7670380748355523,2.0475432469987047,-252.84707955669538,318.5892445727196,19.713633532099198,-24.832735439721652,29.42135126504005,-69.2667565414342,40.36451721245694,19.04765358458469,21.316863627872248
0.004456054687500687,18.554687499956756,0.5984429053435034,0.24513437564231905,-255.3296720725275,352.3511477017192,19.90643619565687,-27.46512046183858,23.853923044565246,-76.60935369078534,4.879751808086008,-16.436306484791984,21.31605829287799
