k,current_case,primary_I_rms_A,M_uH,secondary_open_circuit_V_rms,Pmax_matched_secondary_W
0.02,dynamic_U_A_I,2.47557661728148,1.8410350658435015,3.6654581932754295,0.5444473556937283
0.02,target_50mT_I,7.067092319543284,1.8410350658435015,10.463877895950581,4.436951466666665
0.04,dynamic_U_A_I,2.47557661728148,3.682070131687003,7.330916386550859,2.177789422774913
0.04,target_50mT_I,7.067092319543284,3.682070131687003,20.927755791901163,17.74780586666666
0.06,dynamic_U_A_I,2.47557661728148,5.523105197530504,10.996374579826288,4.900026201243554
0.06,target_50mT_I,7.067092319543284,5.523105197530504,31.391633687851744,39.93256319999998
0.08,dynamic_U_A_I,2.47557661728148,7.364140263374006,14.661832773101718,8.711157691099652
0.08,target_50mT_I,7.067092319543284,7.364140263374006,41.855511583802326,70.99122346666664
0.1,dynamic_U_A_I,2.47557661728148,9.205175329217509,18.32729096637715,13.611183892343208
0.1,target_50mT_I,7.067092319543284,9.205175329217509,52.319389479752914,110.92378666666664
0.15,dynamic_U_A_I,2.47557661728148,13.80776299382626,27.49093644956572,30.62516375777221
0.15,target_50mT_I,7.067092319543284,13.80776299382626,78.47908421962936,249.57851999999988
0.2,dynamic_U_A_I,2.47557661728148,18.410350658435018,36.6545819327543,54.44473556937283
0.2,target_50mT_I,7.067092319543284,18.410350658435018,104.63877895950583,443.6951466666666
0.3,dynamic_U_A_I,2.47557661728148,27.61552598765252,54.98187289913144,122.50065503108884
0.3,target_50mT_I,7.067092319543284,27.61552598765252,156.9581684392587,998.3140799999995
0.4,dynamic_U_A_I,2.47557661728148,36.820701316870036,73.3091638655086,217.77894227749132
0.4,target_50mT_I,7.067092319543284,36.820701316870036,209.27755791901166,1774.7805866666663
0.5,dynamic_U_A_I,2.47557661728148,46.02587664608754,91.63645483188574,340.2795973085802
0.5,target_50mT_I,7.067092319543284,46.02587664608754,261.59694739876454,2773.0946666666655
0.65,dynamic_U_A_I,2.47557661728148,59.8336396399138,119.12739128145147,575.0725194515005
0.65,target_50mT_I,7.067092319543284,59.8336396399138,340.0760316183939,4686.5299866666655
0.8,dynamic_U_A_I,2.47557661728148,73.64140263374007,146.6183277310172,871.1157691099653
0.8,target_50mT_I,7.067092319543284,73.64140263374007,418.5551158380233,7099.122346666665
0.95,dynamic_U_A_I,2.47557661728148,87.44916562756632,174.1092641805829,1228.4093462839744
0.95,target_50mT_I,7.067092319543284,87.44916562756632,497.0342000576526,10010.87174666666
