cable,frequency_Hz,phase_fraction,x_m,voltage_V,current_A,gamma_load,SWR,electrical_length_deg,beta_rad_per_m,alpha_np_per_m
C1,16000.0,0.0,0.0,662.4100877277025,6.717514725664394,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,1.8553881977573146,662.3833888525917,6.716469228720783,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,3.710776395514629,662.3561708351538,6.7154184689752,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,5.566164593271944,662.3284337384774,6.714362448898791,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,7.421552791029258,662.3001776260455,6.713301170966685,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,9.276940988786572,662.2714025617342,6.712234637658,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,11.132329186543888,662.2421086098138,6.711162851455838,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,12.987717384301202,662.2122958349478,6.71008581484728,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,14.843105582058516,662.1819643021934,6.709003530323381,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,16.69849377981583,662.1511140770011,6.70791600037917,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,18.553881977573145,662.1197452252147,6.706823227513644,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,20.40927017533046,662.0878578130717,6.7057252142297745,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,22.264658373087777,662.0554519072019,6.704621963034487,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,24.12004657084509,662.0225275746288,6.703513476438669,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,25.975434768602405,661.989084882769,6.702399756957167,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,27.83082296635972,661.9551238994316,6.70128080710878,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,29.686211164117033,661.9206446928188,6.7001566294162584,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,31.541599361874347,661.8856473315251,6.699027226406297,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,33.39698755963166,661.8501318845383,6.69789260060954,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,35.252375757388975,661.8140984212383,6.696752754560563,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,37.10776395514629,661.7775470113977,6.695607690797886,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,38.963152152903604,661.7404777251813,6.694457411863963,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
C1,16000.0,0.0,40.81854035066092,661.7028906331467,6.693301920305176,0.3333333333333333,1.9999999999999998,12.222210857332087,0.00047905029073181294,4.2426406871192855e-05
