signal,frequency_Hz,I_rms_at_frequency_A,phase_deg
A1,16000.0,14.115949606432237,-88.31406118848544
A1,32000.0,0.09718231622753598,142.07307326962228
A1,64000.0,0.0004265290405818837,80.1127253165198
A1,128000.0,0.000160537557612507,4.760879748945686
A2,16000.0,0.053337063104158165,-85.58450809864992
A2,32000.0,12.959231854834268,-39.97587398367592
A2,64000.0,0.06998262804118667,-69.53053920059648
A2,128000.0,0.004072419576096987,0.18886891173431028
A3,16000.0,0.001408779433475165,-178.84639408658472
A3,32000.0,0.03356890681874947,-43.59625559259089
A3,64000.0,12.959909466840925,104.88111128606059
A3,128000.0,0.05585644328166214,-4.063885013754911
A4,16000.0,0.004659152437046267,-179.99995572248292
A4,32000.0,0.004645637489585662,-179.8450524039196
A4,64000.0,0.0362596502255868,109.67149617939967
A4,128000.0,10.790980714104357,173.9972715835422
B4,16000.0,0.005773201983844047,3.577330653617947e-05
B4,32000.0,0.00575532974176265,-0.12025028587571134
B4,64000.0,0.04340045289773257,45.22947570643705
B4,128000.0,13.544982795814812,11.298981702932585
B3,16000.0,0.003811290394856871,0.42649655820768717
B3,32000.0,0.03736626383109508,-141.96125592582203
B3,64000.0,14.673070225560789,52.72444073126236
B3,128000.0,0.0680227531198719,-166.09816737977835
B2,16000.0,0.05342416478284217,95.46302459995252
B2,32000.0,15.141614445855646,-143.45250405282172
B2,64000.0,0.08092819069809115,-128.57971679090664
B2,128000.0,0.004999733076630826,179.17216368958532
B1,16000.0,14.11594943199346,91.68591676850299
B1,32000.0,0.11349536848976254,38.309905365402855
B1,64000.0,0.0003608806897917248,78.51644556882283
B1,128000.0,0.00015545824175474028,-174.90228991922228
U_A,16000.0,0.0008783066285636182,-179.9999998992348
U_A,32000.0,0.00087828217873984,-179.99843289243984
U_A,64000.0,0.0009800837081853997,160.4793057576779
U_A,128000.0,2.47557661728148,144.86214366293189
U_B,16000.0,0.000979300471512384,8.921124761030574e-08
U_B,32000.0,0.0009792668588890108,-0.0012780086927268925
U_B,64000.0,0.001256217227668454,12.953909698450353
U_B,128000.0,3.3691457439458565,-47.939463180649064
