mode,kind,stage,cable,frequency_Hz,L_uH,C_nF,R_dynamic_ohm,R_copper_ohm,target_I_rms_A,sim_I_rms_A,sim_I_peak_A,capacitor_V_rms_V,drive_V_peak_V,copper_loss_W,dynamic_damping_loss_W,mean_L_energy_J,mean_C_energy_J,frequency_error_ppm
A1_C1,branch,A1,C1,16000.0,994.7183943243459,99.47183943243459,5.0,0.3311446993540253,7.0710678118654755,7.05891633318473,10.045288084415626,706.0318513748821,50.00000000000001,16.500377356229695,249.14149899451078,0.024782563183938042,0.024792409760412748,0.0
A1_C2,branch,A1,C2,16000.0,994.7183943243459,99.47183943243459,5.0,0.3311446993540253,7.0710678118654755,7.0589163331847296,10.045288084415647,706.031851374882,50.00000000000001,16.50037735622969,249.14149899451075,0.024782563183938032,0.024792409760412738,0.0
A2_C1,branch,A2,C1,32000.0,497.35919716217296,49.735919716217296,5.0,0.23447652199553554,7.0710678118654755,6.479638790104983,9.223651537765429,647.9507038414802,50.00000000000001,9.844665329485068,209.9285942511658,0.01044099170981434,0.010440567116912127,0.0
A2_C2,branch,A2,C2,32000.0,497.35919716217296,49.735919716217296,5.0,0.23447652199553554,7.0710678118654755,6.479638790104985,9.223651537765452,647.9507038414802,50.00000000000001,9.844665329485073,209.92859425116595,0.010440991709814343,0.01044056711691213,0.0
A3_C1,branch,A3,C1,64000.0,497.35919716217296,12.433979929054324,10.0,0.2026438251847475,3.5355339059327378,3.24029780785565,4.615954666314137,648.2029988854308,50.00000000000001,2.127664898253081,104.9952988359413,0.00261101887674231,0.002612174816733399,0.0
A3_C2,branch,A3,C2,64000.0,497.35919716217296,12.433979929054324,10.0,0.2026438251847475,3.5355339059327378,3.2402978078556517,4.615954666314142,648.2029988854312,50.00000000000001,2.1276648982530837,104.99529883594143,0.002611018876742313,0.002612174816733402,0.0
A3_C3,branch,A3,C3,64000.0,497.35919716217296,12.433979929054324,10.0,0.3215245336109578,3.5355339059327378,3.240378642086911,4.592199831908856,648.1934211530457,50.00000000000001,3.3760248829594968,105.00053744093012,0.0026111491501608843,0.0026120976232414076,0.0
A3_C4,branch,A3,C4,64000.0,497.35919716217296,12.433979929054324,10.0,0.3215245336109578,3.5355339059327378,3.2403786420869127,4.592199831908857,648.1934211530462,50.00000000000001,3.3760248829595008,105.00053744093024,0.0026111491501608873,0.002612097623241411,0.0
A4_C1,branch,A4,C1,128000.0,497.35919716217296,3.108494982263581,20.0,0.2026438251847475,1.7677669529663689,1.3481439896998568,1.9079819727005694,539.176522860627,50.00000000000001,0.3683035750890611,36.349844339276956,0.00045197323493881855,0.0004518373441118394,0.0
A4_C2,branch,A4,C2,128000.0,497.35919716217296,3.108494982263581,20.0,0.2026438251847475,1.7677669529663689,1.3481439896998566,1.9079819727005716,539.1765228606267,50.00000000000001,0.368303575089061,36.34984433927694,0.00045197323493881834,0.00045183734411183914,0.0
A4_C3,branch,A4,C3,128000.0,497.35919716217296,3.108494982263581,20.0,0.3215245336109578,1.7677669529663689,1.3481441075866674,1.9079862499862774,539.1765741091198,50.00000000000001,0.5843684395996075,36.349850696413036,0.000451973313983321,0.00045183743000572777,0.0
A4_C4,branch,A4,C4,128000.0,497.35919716217296,3.108494982263581,20.0,0.3215245336109578,1.7677669529663689,1.3481441075866658,1.9079862499862719,539.1765741091193,50.00000000000001,0.5843684395996062,36.34985069641295,0.00045197331398331997,0.00045183743000572684,0.0
A4_C5,branch,A4,C5,128000.0,497.35919716217296,3.108494982263581,20.0,1.2843137524239,1.7677669529663689,1.3493433669497772,1.897534909738976,539.6224196685675,50.00000000000001,2.338385395833135,36.41455043862722,0.00045277778927942715,0.00045258498845283127,0.0
A4_C6,branch,A4,C6,128000.0,497.35919716217296,3.108494982263581,20.0,1.2843137524239,1.7677669529663689,1.3493433669497739,1.8975349097389698,539.6224196685664,50.00000000000001,2.3383853958331233,36.414550438627046,0.000452777789279425,0.0004525849884528293,0.0
A4_C7,branch,A4,C7,128000.0,497.35919716217296,3.108494982263581,20.0,1.2843137524239,1.7677669529663689,1.3493433669497772,1.8975349097389755,539.6224196685675,50.00000000000001,2.338385395833135,36.41455043862722,0.00045277778927942715,0.00045258498845283127,0.0
A4_C8,branch,A4,C8,128000.0,497.35919716217296,3.108494982263581,20.0,1.2843137524239,1.7677669529663689,1.3493433669497739,1.89753490973897,539.6224196685664,50.00000000000001,2.3383853958331233,36.414550438627046,0.000452777789279425,0.0004525849884528292,0.0
B4_C1,branch,B4,C1,128000.0,497.35919716217296,3.108494982263581,20.0,0.2026438251847475,1.7677669529663689,1.692440354402856,2.358657474854032,676.8740353304397,50.00000000000001,0.5804437228193139,57.28708706422529,0.0007123064907505648,0.0007120916365365454,0.0
B4_C2,branch,B4,C2,128000.0,497.35919716217296,3.108494982263581,20.0,0.2026438251847475,1.7677669529663689,1.6924403544028572,2.358657474854033,676.8740353304403,50.00000000000001,0.5804437228193149,57.28708706422538,0.000712306490750566,0.0007120916365365465,0.0
B4_C3,branch,B4,C3,128000.0,497.35919716217296,3.108494982263581,20.0,0.3215245336109578,1.7677669529663689,1.6924404780425142,2.358660839731585,676.8740857210125,50.00000000000001,0.9209603320725572,57.287095434335484,0.0007123065948243469,0.0007120917425613149,0.0
B4_C4,branch,B4,C4,128000.0,497.35919716217296,3.108494982263581,20.0,0.3215245336109578,1.7677669529663689,1.6924404780425162,2.3586608397315905,676.8740857210132,50.00000000000001,0.9209603320725593,57.28709543433561,0.0007123065948243486,0.0007120917425613165,0.0
B4_C5,branch,B4,C5,128000.0,497.35919716217296,3.108494982263581,20.0,1.2843137524239,1.7677669529663689,1.6934957175724619,2.348860080268584,677.2620164047646,50.00000000000001,3.683319044421868,57.35855490872535,0.0007131951204946513,0.0007129082057780771,0.0
B4_C6,branch,B4,C6,128000.0,497.35919716217296,3.108494982263581,20.0,1.2843137524239,1.7677669529663689,1.6934957175724628,2.3488600802685835,677.2620164047651,50.00000000000001,3.6833190444218715,57.35855490872541,0.000713195120494652,0.0007129082057780779,0.0
B4_C7,branch,B4,C7,128000.0,497.35919716217296,3.108494982263581,20.0,1.2843137524239,1.7677669529663689,1.6934957175724605,2.348860080268578,677.2620164047642,50.00000000000001,3.6833190444218618,57.35855490872525,0.0007131951204946502,0.0007129082057780761,0.0
B4_C8,branch,B4,C8,128000.0,497.35919716217296,3.108494982263581,20.0,1.2843137524239,1.7677669529663689,1.6934957175724619,2.3488600802685813,677.2620164047646,50.00000000000001,3.683319044421868,57.35855490872535,0.0007131951204946513,0.0007129082057780771,0.0
B3_C1,branch,B3,C1,64000.0,497.35919716217296,12.433979929054324,10.0,0.2026438251847475,3.5355339059327378,3.668336345285666,5.210856969195832,733.7367737001589,50.00000000000001,2.7269154484312574,134.56691542143795,0.003346404650929821,0.003347038730403821,0.0
B3_C2,branch,B3,C2,64000.0,497.35919716217296,12.433979929054324,10.0,0.2026438251847475,3.5355339059327378,3.668336345285666,5.210856969195829,733.7367737001589,50.00000000000001,2.7269154484312574,134.56691542143795,0.0033464046509298203,0.003347038730403821,0.0
B3_C3,branch,B3,C3,64000.0,497.35919716217296,12.433979929054324,10.0,0.3215245336109578,3.5355339059327378,3.6685571608619987,5.182338153813363,733.7477914429764,50.00000000000001,4.327177374049545,134.58311642511848,0.003346807536839009,0.0033471392489824825,0.0
B3_C4,branch,B3,C4,64000.0,497.35919716217296,12.433979929054324,10.0,0.3215245336109578,3.5355339059327378,3.6685571608619947,5.182338153813351,733.7477914429757,50.00000000000001,4.327177374049536,134.5831164251182,0.0033468075368390015,0.003347139248982475,0.0
B2_C1,branch,B2,C1,32000.0,497.35919716217296,49.735919716217296,5.0,0.23447652199553554,7.0710678118654755,7.5707150937600645,10.757978331825088,757.0287101259532,50.00000000000001,13.43919232984776,286.57863515443233,0.014253251990423972,0.014251640488088474,0.0
B2_C2,branch,B2,C2,32000.0,497.35919716217296,49.735919716217296,5.0,0.23447652199553554,7.0710678118654755,7.570715093760067,10.757978331825107,757.0287101259536,50.00000000000001,13.439192329847769,286.5786351544325,0.014253251990423982,0.01425164048808849,0.0
B1_C1,branch,B1,C1,16000.0,994.7183943243459,99.47183943243459,5.0,0.3311446993540253,7.0710678118654755,7.058977181225737,10.060945416232558,706.0347762661214,50.00000000000001,16.500661824813236,249.14579422532827,0.024782990438448244,0.024792615176789285,0.0
B1_C2,branch,B1,C2,16000.0,994.7183943243459,99.47183943243459,5.0,0.3311446993540253,7.0710678118654755,7.05897718122572,10.060945416232531,706.0347762661197,50.00000000000001,16.500661824813157,249.14579422532708,0.024782990438448123,0.024792615176789164,0.0
