stage,frequency_Hz,active_branch_count,bus_V_rms_50ohm_V,stage_I_rms_from_source_power_A,target_I_rms_10kW_50ohm_A,P_source_W,Q_source_VAR,S_source_VA,P_dynamic_damping_W,P_copper_W,Q_inductor_VAR_sum,Q_capacitor_VAR_sum,Q_lc_net_VAR,power_factor_source,equivalent_impedance_from_S_ohm
A1,16000.0,2,707.1067811865476,0.705644345697779,14.142135623730951,498.7499048646148,-14.680044453645092,498.9659019488439,498.15008322833614,32.99195190876601,9963.001664566722,-9963.001664566722,0.0,0.9995671105312297,1002.0724824023388
A2,32000.0,2,707.1067811865476,0.6479928905998802,14.142135623730951,458.060134061036,11.3272555360893,458.20016710384795,419.85422566837804,19.689191715969997,8397.084513367558,-8397.084513367561,-3.637978807091713e-12,0.999694384566254,1091.2261406632758
A3,64000.0,4,707.1067811865476,0.6479078240484348,14.142135623730951,449.9607007205094,86.18376899797872,458.14001596846873,419.89839114279437,11.004969870510525,8397.967822855886,-8397.967822855886,0.0,0.982146691048873,1091.3694123466662
A4,128000.0,8,707.1067811865476,0.5396545093223574,14.142135623730951,378.87025147309345,-45.506343125899186,381.5933630397378,291.1132849983611,11.261195041590355,5822.265699967222,-5822.265699967223,-9.094947017729282e-13,0.9928638392844353,1310.2953259381813
B4,128000.0,8,707.1067811865476,0.6773815316804894,14.142135623730951,478.80518904787033,12.97924002922139,478.9810745018043,458.66666811595,17.739536377915496,9173.333362319,-9173.333362319001,-1.8189894035458565e-12,0.9996327924769952,1043.8825803713808
B3,64000.0,4,707.1067811865476,0.7335542756896769,14.142135623730951,508.1948696604178,103.86968827398209,518.7012027085567,538.2479026701628,14.106868259314203,10764.958053403254,-10764.958053403256,-1.8189894035458565e-12,0.9797449225232622,963.9460972696753
B2,32000.0,2,707.1067811865476,0.7571172908260263,14.142135623730951,535.0327782263233,18.794208078364633,535.3627704966707,573.171220067361,26.879038837866503,11463.42440134722,-11463.42440134722,0.0,0.9993836099771353,933.9461530657733
B1,16000.0,2,707.1067811865476,0.7056443369777325,14.142135623730951,498.7499043489955,-14.679852391618086,498.96589578283994,498.1500709164913,32.99195109336558,9963.001418329824,-9963.001418329826,-1.8189894035458565e-12,0.9995671218500705,1002.0724947855157
