stage,bobbin_family,source_label,axial_length_mm,inner_diameter_mm,mean_diameter_mm,outer_diameter_mm,radial_depth_capacity_mm,mean_turn_length_m,active_cables,cable_lengths_in_bobbin_m,turns_by_cable,total_cable_length_in_bobbin_m,total_cable_turns_sum,estimated_insulated_pack_area_mm2,available_window_area_mm2,fill_percent_of_source_window,required_radial_depth_mm_from_pack,max_litz_od_mm,estimated_air_core_L_uH_by_branch,grover_loop_array_L_uH_by_branch,wheeler_single_layer_L_uH_by_branch,uncoupled_physical_parallel_L_uH,physical_parallel_to_stage_target_percent,branch_target_L_uH,series_trim_L_uH_by_branch_if_using_current_length,required_length_for_branch_target_air_core_m,required_turns_for_branch_target_air_core,material_note
A1,large,"A1/A2/B2/B1 source envelope: 4 3/4 in x 19 in, 5 in hole",482.59999999999997,127.0,187.95999999999998,248.92000000000002,60.96000000000001,0.5904937551687375,C1 C2,C1:75.937339 C2:75.937339,C1:128.599732 C2:128.599732,151.87467779797254,257.1994648014073,3253.749728119331,29419.296000000002,11.059917029011608,8.427656776106847,4.01339681292756,C1:994.718394 C2:994.718394,C1:994.718394 C2:994.718394,C1:1013.899374 C2:1013.899374,497.35919715664966,99.99999999888948,994.7183943243459,C1:0.000000 C2:0.000000,C1:75.937339 C2:75.937339,C1:128.599732 C2:128.599732,"G10/FR4, glass-filled nylon, Ultem, PEEK, or machined phenolic; avoid PLA for high RF voltage"
A2,large,"A1/A2/B2/B1 source envelope: 4 3/4 in x 19 in, 5 in hole",482.59999999999997,127.0,187.95999999999998,248.92000000000002,60.96000000000001,0.5904937551687375,C1 C2,C1:53.769615 C2:53.769615,C1:91.058737 C2:91.058737,107.53923073124469,182.11747336856195,2303.9110128641905,29419.296000000002,7.831292131749823,5.967444604393366,4.01339681292756,C1:497.359197 C2:497.359197,C1:497.359197 C2:497.359197,C1:508.344310 C2:508.344310,248.67959858661314,100.00000000222241,497.35919716217296,C1:0.000000 C2:0.000000,C1:53.769615 C2:53.769615,C1:91.058737 C2:91.058737,"G10/FR4, glass-filled nylon, Ultem, PEEK, or machined phenolic; avoid PLA for high RF voltage"
A3,small,A3/A4/B4/B3 source envelope: 3 3/4 in x 14 in,355.59999999999997,101.6,147.31999999999996,193.04,45.72,0.4628194297268483,C1 C2 C3 C4,C1:46.469815 C2:46.469815 C3:46.370048 C4:46.370048,C1:100.405929 C2:100.405929 C3:100.190366 C4:100.190366,185.67972580670624,401.1925901993628,4134.655903090854,16258.031999999997,25.431466139879994,14.534082898941417,4.01339681292756,C1:497.359197 C2:497.359197 C3:497.359197 C4:497.359197,C1:497.359197 C2:497.359197 C3:497.359197 C4:497.359197,C1:510.440446 C2:510.440446 C3:508.251058 C4:508.251058,124.33979929072464,100.0000000001459,497.35919716217296,C1:0.000000 C2:0.000000 C3:0.000000 C4:0.000000,C1:46.469815 C2:46.469815 C3:46.370048 C4:46.370048,C1:100.405929 C2:100.405929 C3:100.190366 C4:100.190366,"G10/FR4, glass-filled nylon, Ultem, PEEK, or machined phenolic; avoid PLA for high RF voltage"
A4,small,A3/A4/B4/B3 source envelope: 3 3/4 in x 14 in,355.59999999999997,101.6,147.31999999999996,193.04,45.72,0.4628194297268483,C1 C2 C3 C4 C5 C6 C7 C8,C1:46.469815 C2:46.469815 C3:46.370048 C4:46.370048 C5:46.073601 C6:46.073601 C7:46.073601 C8:46.073601,C1:100.405929 C2:100.405929 C3:100.190366 C4:100.190366 C5:99.549841 C6:99.549841 C7:99.549841 C8:99.549841,369.97412884317436,799.3919552200512,4922.713759262206,16258.031999999997,30.278657092458708,17.30425252834015,4.01339681292756,C1:497.359197 C2:497.359197 C3:497.359197 C4:497.359197 C5:497.359197 C6:497.359197 C7:497.359197 C8:497.359197,C1:497.359197 C2:497.359197 C3:497.359197 C4:497.359197 C5:497.359197 C6:497.359197 C7:497.359197 C8:497.359197,C1:510.440446 C2:510.440446 C3:508.251058 C4:508.251058 C5:501.773252 C6:501.773252 C7:501.773252 C8:501.773252,62.16989964601122,100.00000000118965,497.35919716217296,C1:0.000000 C2:0.000000 C3:0.000000 C4:0.000000 C5:0.000000 C6:0.000000 C7:0.000000 C8:0.000000,C1:46.469815 C2:46.469815 C3:46.370048 C4:46.370048 C5:46.073601 C6:46.073601 C7:46.073601 C8:46.073601,C1:100.405929 C2:100.405929 C3:100.190366 C4:100.190366 C5:99.549841 C6:99.549841 C7:99.549841 C8:99.549841,"G10/FR4, glass-filled nylon, Ultem, PEEK, or machined phenolic; avoid PLA for high RF voltage"
B4,small,A3/A4/B4/B3 source envelope: 3 3/4 in x 14 in,355.59999999999997,101.6,147.31999999999996,193.04,45.72,0.4628194297268483,C1 C2 C3 C4 C5 C6 C7 C8,C1:46.469815 C2:46.469815 C3:46.370048 C4:46.370048 C5:46.073601 C6:46.073601 C7:46.073601 C8:46.073601,C1:100.405929 C2:100.405929 C3:100.190366 C4:100.190366 C5:99.549841 C6:99.549841 C7:99.549841 C8:99.549841,369.97412884317436,799.3919552200512,4922.713759262206,16258.031999999997,30.278657092458708,17.30425252834015,4.01339681292756,C1:497.359197 C2:497.359197 C3:497.359197 C4:497.359197 C5:497.359197 C6:497.359197 C7:497.359197 C8:497.359197,C1:497.359197 C2:497.359197 C3:497.359197 C4:497.359197 C5:497.359197 C6:497.359197 C7:497.359197 C8:497.359197,C1:510.440446 C2:510.440446 C3:508.251058 C4:508.251058 C5:501.773252 C6:501.773252 C7:501.773252 C8:501.773252,62.16989964601122,100.00000000118965,497.35919716217296,C1:0.000000 C2:0.000000 C3:0.000000 C4:0.000000 C5:0.000000 C6:0.000000 C7:0.000000 C8:0.000000,C1:46.469815 C2:46.469815 C3:46.370048 C4:46.370048 C5:46.073601 C6:46.073601 C7:46.073601 C8:46.073601,C1:100.405929 C2:100.405929 C3:100.190366 C4:100.190366 C5:99.549841 C6:99.549841 C7:99.549841 C8:99.549841,"G10/FR4, glass-filled nylon, Ultem, PEEK, or machined phenolic; avoid PLA for high RF voltage"
B3,small,A3/A4/B4/B3 source envelope: 3 3/4 in x 14 in,355.59999999999997,101.6,147.31999999999996,193.04,45.72,0.4628194297268483,C1 C2 C3 C4,C1:46.469815 C2:46.469815 C3:46.370048 C4:46.370048,C1:100.405929 C2:100.405929 C3:100.190366 C4:100.190366,185.67972580670624,401.1925901993628,4134.655903090854,16258.031999999997,25.431466139879994,14.534082898941417,4.01339681292756,C1:497.359197 C2:497.359197 C3:497.359197 C4:497.359197,C1:497.359197 C2:497.359197 C3:497.359197 C4:497.359197,C1:510.440446 C2:510.440446 C3:508.251058 C4:508.251058,124.33979929072464,100.0000000001459,497.35919716217296,C1:0.000000 C2:0.000000 C3:0.000000 C4:0.000000,C1:46.469815 C2:46.469815 C3:46.370048 C4:46.370048,C1:100.405929 C2:100.405929 C3:100.190366 C4:100.190366,"G10/FR4, glass-filled nylon, Ultem, PEEK, or machined phenolic; avoid PLA for high RF voltage"
B2,large,"A1/A2/B2/B1 source envelope: 4 3/4 in x 19 in, 5 in hole",482.59999999999997,127.0,187.95999999999998,248.92000000000002,60.96000000000001,0.5904937551687375,C1 C2,C1:53.769615 C2:53.769615,C1:91.058737 C2:91.058737,107.53923073124469,182.11747336856195,2303.9110128641905,29419.296000000002,7.831292131749823,5.967444604393366,4.01339681292756,C1:497.359197 C2:497.359197,C1:497.359197 C2:497.359197,C1:508.344310 C2:508.344310,248.67959858661314,100.00000000222241,497.35919716217296,C1:0.000000 C2:0.000000,C1:53.769615 C2:53.769615,C1:91.058737 C2:91.058737,"G10/FR4, glass-filled nylon, Ultem, PEEK, or machined phenolic; avoid PLA for high RF voltage"
B1,large,"A1/A2/B2/B1 source envelope: 4 3/4 in x 19 in, 5 in hole",482.59999999999997,127.0,187.95999999999998,248.92000000000002,60.96000000000001,0.5904937551687375,C1 C2,C1:75.937339 C2:75.937339,C1:128.599732 C2:128.599732,151.87467779797254,257.1994648014073,3253.749728119331,29419.296000000002,11.059917029011608,8.427656776106847,4.01339681292756,C1:994.718394 C2:994.718394,C1:994.718394 C2:994.718394,C1:1013.899374 C2:1013.899374,497.35919715664966,99.99999999888948,994.7183943243459,C1:0.000000 C2:0.000000,C1:75.937339 C2:75.937339,C1:128.599732 C2:128.599732,"G10/FR4, glass-filled nylon, Ultem, PEEK, or machined phenolic; avoid PLA for high RF voltage"
